class,linguistic pattern,predicate
http://dbpedia.org/ontology/Skier,US-amerikanische,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,französischer,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,norwegische,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,größten,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,größten,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,größten,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,zahlreiche,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,französischer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,internationalen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,erfolgreichsten,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,internationale,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,italienischer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,internationalen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,erfolgreichsten,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,norwegische,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,US-amerikanische,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,deutscher,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,stärkste,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,kanadische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,zahlreiche,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,deutsche,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,kanadische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Österreichische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,aktiv,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,norwegische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,geborene,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,deutscher,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,aktiv,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,erfolgreichsten,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,größter,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Deutschen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Deutschen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,größter,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Österreichische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,russisch,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,stärkste,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,1950er-Jahren,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,norwegische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,stärkste,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,schwedische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,größter,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,zahlreiche,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,1950er-Jahren,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,aktuell,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,schwedische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,hauptsächlich,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,jüngere,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,jüngere,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,zahlreiche,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Österreichische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,vorwiegend,http://dbpedia.org/ontology/height
