LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
befinden,verb,befinden,befindet,befand,befunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
aufnehmen,verb,aufnehmen,nimmt auf,nahm auf,aufgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
belegen,verb,belegen,belegt,belegte,belegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
komponieren,verb,komponieren,komponiert,komponierte,komponiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
fortsetzen,verb,fortsetzen,setzt fort,setzte fort,fortgesetzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
komponieren,verb,komponieren,komponiert,komponierte,komponiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
handeln,verb,handeln,handelst,handelt,handelte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
enthalten,verb,enthalten,enthält,enthielt,enthalten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
angeben,verb,angeben,gibt an,gab an,angegeben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verkaufen,verb,verkaufen,verkauft,verkaufte,verkauft,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
stellen,verb,stellen,stellt,stellte,gestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
interpretieren,verb,interpretieren,interpretiert,interpretierte,interpretiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
leben,verb,leben,lebt,lebte,gelebt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
heißen,verb,heißen,heißt,hieß,geheißen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person,von
