LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Kommune,noun,f,Kommune,Kommunen,Kommune,Kommune,Kommune,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
DDR,noun,f,DDR,—,DDR,DDR,DDR,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Marc,noun,Marc,Marce,Marcs,Marcen,Marcs,Marcs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Mehrkampf,noun,m,Mehrkampf,Mehrkämpfe,Mehrkampfe,Mehrkämpfe,Mehrkampfes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Südamerikameister,noun,m,Südamerikameister,Südamerikameister,Südamerikameister,Südamerikameister,Südamerikameisters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Achtelfinale,noun,n,Achtelfinale,Achtelfinale,Achtelfinale,Achtelfinale,Achtelfinals,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Artur,noun,Artur,Arturs,Arturs,Arturs,Arturs,Arturs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Weltspitze,noun,f,Weltspitze,Weltspitzen,Weltspitze,Weltspitze,Weltspitze,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Disziplin,noun,f,Disziplin,Disziplinen,Disziplin,Disziplin,Disziplin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/coach,http://dbpedia.org/ontology/IceHockeyLeague	,http://dbpedia.org/ontology/CollegeCoach 
Rose,noun,f,Rose,Rosen,Rose,Rose,Rose,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Nicole,noun,Nicole,Nicolen,Nicoles,Nicolen,Nicoles,Nicoles,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Erscheinung,noun,f,Erscheinung,Erscheinungen,Erscheinung,Erscheinung,Erscheinung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Sarah,noun,Sarah,Sarahs,Sarahs,Sarahs,Sarahs,Sarahs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/height,	http://dbpedia.org/ontology/Lighthouse	,xsd:integer                     
Rang,noun,m,Rang,Ränge,Range,Ränge,Rangs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Jana,noun,Jana,Janas,Janen,Janas,Janen,Janas,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Oliver,noun,Oliver,Oliver,Olivers,Oliver,Olivern,Oliver,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Mutter,noun,f,Mutter,Mütter,Mutter,Mutter,Mutter,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Charlotte,noun,f,Charlotte,Charlotten,Charlotte,Charlotte,Charlotte,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Florian,noun,Florian,Floriane,Florians,Florianen,Florians,Florians,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Roman,noun,m,Roman,Romane,Roman,Roman,Romans,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Müller,noun,m,Müller,Müller,Müller,Müller,Müllers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Johanna,noun,Johanna,Johannas,Johannen,Johannas,Johannen,Johannas,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Markus,noun,Markus,Markuse,Markus',Markusen,Markus',Markus',von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Bad,noun,n,Bad,Bäder,Bade,Bäder,Bads,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Minute,noun,f,Minute,Minuten,Minute,Minute,Minute,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Kiel,noun,m,Kiel,Kiele,Kiele,Kiele,Kiels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Verein,noun,m,Verein,Vereine,Vereine,Vereine,Vereins,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Europameisterschaft,noun,f,Europameisterschaft,Europameisterschaften,Europameisterschaft,Europameisterschaft,Europameisterschaft,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Kreis,noun,m,Kreis,Kreise,Kreisen,Kreis,Kreises,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Viertelfinale,noun,n,Viertelfinale,Viertelfinale,Viertelfinale,Viertelfinale,Viertelfinales,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Runde,noun,f,Runde,Runden,Runde,Runde,Runde,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Schwede,noun,m,Schwede,Schweden,Schweden,Schweden,Schweden,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Person	,http://dbpedia.org/ontology/Country  
Motorrad,noun,n,Motorrad,Motorräder,Motorrade,Motorräder,Motorrads,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Hersteller,noun,m,Hersteller,Hersteller,Hersteller,Hersteller,Herstellers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Modell,noun,n,Modell,Modelle,Modell,Modell,Modells,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Nachfolgemodell,noun,n,Nachfolgemodell,Nachfolgemodelle,Nachfolgemodellen,Nachfolgemodelle,Nachfolgemodelles,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
R,noun,n,R,R,Rs,Rs,Rs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Enduro,noun,f,Enduro,Enduros,Enduro,Enduro,Enduro,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Boxermotor,noun,m,Boxermotor,Boxermotore,Boxermotor,Boxermotore,Boxermotoren,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Motor,noun,m,Motor,Motoren,Motor,Motoren,Motore,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Bike,noun,n,Bike,Bikes,Bike,Bike,Bikes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Markt,noun,m,Markt,Märkte,Markte,Märkte,Marktes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Kategorie,noun,f,Kategorie,Kategorien,Kategorie,Kategorie,Kategorie,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Presse,noun,f,Presse,Pressen,Presse,Presse,Presse,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Sport,noun,m,Sport,Sporte,Sporte,Sporte,Sports,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Marke,noun,f,Marke,Marken,Marke,Marke,Marke,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Bezeichnung,noun,f,Bezeichnung,Bezeichnungen,Bezeichnung,Bezeichnung,Bezeichnung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Höchstgeschwindigkeit,noun,f,Höchstgeschwindigkeit,Höchstgeschwindigkeit,Höchstgeschwindigkeiten,Höchstgeschwindigkeiten,Höchstgeschwindigkeit,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Basis,noun,f,Basis,Basen,Basis,Basis,Basis,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Hubraum,noun,m,Hubraum,Hubräume,Hubraume,Hubräume,Hubraums,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Einheit,noun,f,Einheit,Einheiten,Einheit,Einheit,Einheit,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Baureihe,noun,f,Baureihe,Baureihen,Baureihe,Baureihe,Baureihe,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Nachfolgerin,noun,f,Nachfolgerin,Nachfolgerinnen,Nachfolgerin,Nachfolgerin,Nachfolgerin,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Motorroller,noun,m,Motorroller,Motorroller,Motorroller,Motorroller,Motorrollers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Firma,noun,f,Firma,Firmen,Firma,Firma,Firma,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Stück,noun,n,Stück,Stücke,Stücke,Stücke,Stücks,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Maschine,noun,f,Maschine,Maschinen,Maschine,Maschine,Maschine,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Variante,noun,f,Variante,Varianten,Variante,Variante,Variante,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
PS,noun,n,PS,PS,PS,PS,PS,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Roadster,noun,m,Roadster,Roadster,Roadster,Roadster,Roadsters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Anfang,noun,m,Anfang,Anfänge,Anfange,Anfänge,Anfanges,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Markenname,noun,m,Markenname,Markennamen,Markennamen,Markennamen,Markennamens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Verkaufsstart,noun,m,Verkaufsstart,Verkaufsstarts,Verkaufsstart,Verkaufsstart,Verkaufsstarts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Öffentlichkeit,noun,f,Öffentlichkeit,Öffentlichkeiten,Öffentlichkeit,Öffentlichkeit,Öffentlichkeit,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Verkleidung,noun,f,Verkleidung,Verkleidungen,Verkleidung,Verkleidung,Verkleidung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
DDR,noun,f,DDR,—,DDR,DDR,DDR,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Werk,noun,n,Werk,Werke,Werke,Werke,Werks,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Leichtkraftrad,noun,n,Leichtkraftrad,Leichtkrafträder,Leichtkraftrade,Leichtkrafträder,Leichtkraftrads,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Klasse,noun,f,Klasse,Klassen,Klasse,Klasse,Klasse,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Zylinder,noun,m,Zylinder,Zylinder,Zylinder,Zylinder,Zylinders,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
Leistung,noun,f,Leistung,Leistungen,Leistung,Leistung,Leistung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/successor,http://dbpedia.org/ontology/Politician	,http://dbpedia.org/ontology/Person  
